,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speeds
385,soja,100,JP,1592411753,87,34.67,133.75,66.00,1.72
386,vinh long,75,VN,1592411754,100,10.25,105.97,78.80,5.21
387,perth,75,AU,1592411639,72,-31.93,115.83,61.00,17.22
388,lesnyye polyany,99,RU,1592411754,44,55.97,37.87,87.01,8.95
389,muisne,75,EC,1592411754,83,0.6,-80.03,82.40,6.93
390,hobyo,93,SO,1592411754,69,5.35,48.53,80.64,27.22
391,whitehorse,20,CA,1592411592,71,60.72,-135.05,50.00,16.11
392,saquena,7,PE,1592411754,50,-4.67,-73.52,90.37,3.40
393,son la,76,VN,1592411754,91,21.32,103.9,72.27,1.14
394,mount isa,0,AU,1592411755,40,-20.73,139.5,68.00,10.29
395,shihezi,100,CN,1592411755,41,44.3,86.03,74.80,5.14
396,aizkraukle,44,LV,1592411755,66,56.6,25.26,79.00,5.99
397,weymouth,0,US,1592411679,49,42.22,-70.94,80.01,4.81
398,maldonado,100,UY,1592411755,60,-34.67,-54.92,77.00,16.11
399,cartagena,40,CO,1592411755,66,10.4,-75.51,89.60,4.70
400,bonfim,83,BR,1592411756,73,3.08,-59.95,83.08,8.86
401,fujin,0,CN,1592411756,92,47.26,132.03,46.78,7.78
402,olafsvik,96,IS,1592411756,76,64.89,-23.71,48.45,6.82
403,dikson,93,RU,1592411756,92,73.51,80.55,32.83,1.50
404,khani,40,GE,1592411756,54,41.96,42.96,80.60,10.29
405,columbus,75,US,1592411579,41,39.96,-83.0,80.01,11.41
406,skjervoy,0,NO,1592411756,73,70.03,20.97,47.82,2.73
407,boguchany,0,RU,1592411757,58,58.38,97.45,50.09,3.29
408,abu dhabi,0,AE,1592411403,67,24.47,54.37,93.20,5.82
409,urusha,2,RU,1592411757,72,54.05,122.9,47.57,3.44
410,krasnoarmeysk,0,RU,1592411757,48,51.02,45.7,67.23,4.03
411,rio grande,83,BR,1592411671,57,-32.03,-52.1,78.80,11.41
412,hof,100,DE,1592411758,52,50.32,11.92,70.00,10.29
413,kasongo-lunda,1,CD,1592411758,32,-6.47,16.82,76.66,3.00
414,chicama,15,PE,1592411758,57,-7.84,-79.15,73.92,9.51
415,terrace,75,CA,1592411565,76,54.52,-128.6,55.40,1.28
416,jalu,0,LY,1592411758,24,29.03,21.55,87.26,17.98
417,sydney,75,AU,1592411590,76,-33.87,151.21,59.00,8.05
418,port maria,100,JM,1592411759,73,18.37,-76.89,88.00,8.99
419,phibun mangsahan,75,TH,1592411759,100,15.24,105.23,75.20,2.24
420,jiayuguan,0,CN,1592411759,19,39.82,98.3,73.56,8.70
421,faya,40,SA,1592411759,50,18.39,42.45,80.60,6.93
422,yishui,100,CN,1592411759,91,35.78,118.63,63.97,11.63
423,lincoln,1,US,1592411563,48,40.8,-96.67,87.01,17.22
424,akcaabat,20,TR,1592411759,73,41.02,39.57,77.00,4.70
425,zaltan,0,LY,1592411760,33,32.95,11.87,84.24,17.98
426,skibbereen,75,IE,1592411760,77,51.55,-9.27,60.80,11.41
427,malanje,0,AO,1592411760,34,-9.54,16.34,68.14,4.18
428,vila franca do campo,40,PT,1592411760,72,37.72,-25.43,68.00,20.80
429,victor harbor,29,AU,1592411760,95,-35.57,138.62,46.99,11.25
430,vanimo,52,PG,1592411760,84,-2.67,141.3,76.73,3.62
431,sibolga,83,ID,1592411760,81,1.74,98.78,78.53,3.65
432,morondava,2,MG,1592411761,60,-20.28,44.28,77.16,9.24
433,luwuk,78,ID,1592411761,80,-0.95,122.79,78.46,5.55
434,ngama,100,TD,1592411761,47,11.78,17.17,89.51,14.50
435,san vicente,0,AR,1592411761,56,-26.62,-54.13,76.15,9.24
436,tautira,75,PF,1592411761,88,-17.73,-149.15,77.00,9.17
437,lazaro cardenas,0,MX,1592411761,52,17.96,-102.2,88.90,5.88
438,zavyalovo,17,RU,1592411761,63,54.51,82.45,62.60,4.47
439,santa maria,1,BR,1592411762,57,-29.68,-53.81,77.00,12.75
440,el alto,18,PE,1592411762,69,-4.27,-81.21,73.40,23.04
441,mahanje,66,TZ,1592411762,66,-9.93,35.33,62.91,2.68
442,tabas,0,IR,1592411762,9,33.6,56.92,100.40,6.93
443,ulaanbaatar,40,MN,1592411501,62,47.91,106.88,53.60,4.47
444,hay river,75,CA,1592411465,62,60.82,-115.8,59.00,8.05
445,asfi,41,MA,1592411763,70,32.3,-9.24,72.27,22.21
446,velyka lepetykha,60,UA,1592411763,67,47.18,33.94,76.51,4.32
447,port hedland,0,AU,1592411763,88,-20.32,118.57,62.60,2.04
448,castle douglas,70,GB,1592411763,92,54.94,-3.93,63.00,1.99
449,ketchikan,75,US,1592411763,71,55.34,-131.65,55.40,8.05
450,greymouth,86,NZ,1592411763,94,-42.47,171.2,49.98,5.32
451,najran,20,SA,1592411764,11,17.49,44.13,95.00,6.93
452,cururupu,24,BR,1592411764,61,-1.83,-44.87,86.95,6.58
453,ust-kuyga,60,RU,1592411764,57,70.02,135.6,66.70,6.55
454,nueva concepcion,75,GT,1592411764,83,14.2,-91.3,82.40,4.74
455,nizhnyaya tavda,29,RU,1592411764,82,57.67,66.17,47.88,5.44
456,san quintin,98,MX,1592411764,66,30.48,-115.95,66.40,6.55
457,ayr,75,GB,1592411764,73,55.46,-4.63,72.00,4.70
458,ixtapa,5,MX,1592411764,62,20.7,-105.2,84.99,3.36
459,iracoubo,88,GF,1592411765,81,5.48,-53.2,82.29,5.95
460,dudinka,40,RU,1592411765,86,69.41,86.18,39.20,8.95
461,saint-augustin,100,CA,1592411765,83,51.23,-58.65,58.32,9.66
462,adlay,99,PH,1592411765,80,9.41,125.9,79.14,3.58
463,tabuk,100,PH,1592411765,87,17.42,121.44,75.90,0.43
464,margate,100,GB,1592411564,82,51.38,1.39,68.00,1.01
465,dubbo,1,AU,1592411765,87,-32.25,148.62,50.00,10.29
466,batemans bay,95,AU,1592411766,93,-35.72,150.18,48.00,3.58
467,matara,12,LK,1592411766,89,5.95,80.54,80.02,8.03
468,lorengau,8,PG,1592411766,78,-2.02,147.27,80.42,5.35
469,vershino-darasunskiy,6,RU,1592411526,96,52.35,115.52,50.88,3.53
470,musoma,20,TZ,1592411766,44,-1.5,33.8,80.60,11.41
471,usinsk,91,RU,1592411766,64,65.99,57.53,42.31,14.52
472,mandalgovi,42,MN,1592411766,48,45.76,106.27,63.95,12.41
473,belyy yar,53,RU,1592411767,67,53.6,91.39,59.00,2.24
474,moses lake,1,US,1592411767,45,47.13,-119.28,68.00,4.70
475,ostrovnoy,64,RU,1592411767,69,68.05,39.51,43.83,5.86
476,tadine,25,NC,1592411767,84,-21.55,167.88,71.24,10.87
477,talnakh,40,RU,1592411767,86,69.49,88.4,39.20,8.95
478,vostok,100,RU,1592411767,100,46.49,135.88,45.30,1.59
479,kalmar,12,SE,1592411767,68,56.66,16.36,66.20,6.93
480,camopi,30,GF,1592411768,92,3.17,-52.32,81.72,4.03
481,paita,40,PE,1592411768,69,-5.09,-81.11,73.40,23.04
482,sitka,90,US,1592411768,81,57.05,-135.33,51.80,3.98
483,bulalacao,100,PH,1592411768,72,12.33,121.34,81.57,5.17
484,mountain home,90,US,1592411704,66,43.13,-115.69,53.60,23.04
485,vestmannaeyjar,90,IS,1592411768,71,63.44,-20.27,50.00,10.29
486,balad,0,IQ,1592411768,15,34.02,44.15,91.85,11.92
487,gizo,100,SB,1592411769,78,-8.1,156.84,82.40,13.09
488,kattivakkam,40,IN,1592411769,74,13.22,80.32,88.00,9.17
489,dharchula,34,IN,1592411769,68,29.85,80.53,71.65,2.30
490,dagana,0,MR,1592411769,24,16.52,-15.51,111.20,11.74
491,villazon,0,BO,1592411769,21,-22.09,-65.59,62.62,15.03
492,coihueco,75,CL,1592411769,76,-36.62,-71.83,53.60,14.99
493,bethanien,0,NA,1592411769,35,-26.5,17.16,56.14,8.88
494,cuauhtemoc,14,MX,1592411619,46,28.42,-106.87,75.99,3.00
495,omsukchan,14,RU,1592411770,79,62.53,155.8,45.52,4.41
496,southbridge,0,US,1592411536,38,42.08,-72.03,79.00,1.99
497,sibi,0,PK,1592411770,7,29.54,67.88,104.86,4.34
498,amursk,99,RU,1592411770,75,50.23,136.9,50.40,14.43
499,zyryanka,51,RU,1592411770,55,65.75,150.85,67.23,4.45
500,chkalovsk,40,RU,1592411770,82,56.76,43.24,69.01,2.24
501,kato glikovrisi,20,GR,1592411770,73,36.83,22.78,77.00,20.80
502,aden,99,YE,1592411771,69,12.78,45.04,88.92,9.82
503,kutum,86,SD,1592411771,18,14.2,24.67,86.25,6.87
504,tignere,94,CM,1592411771,91,7.37,12.65,69.31,3.76
505,rodby,29,DK,1592411771,63,54.7,11.39,70.00,4.00
506,iquique,75,CL,1592411771,59,-20.22,-70.14,66.20,12.75
507,bitung,20,ID,1592411771,94,1.45,125.18,77.00,1.12
508,shimoda,100,JP,1592411771,94,34.67,138.95,63.00,4.61
509,manoel urbano,0,BR,1592411771,40,-8.84,-69.26,92.19,2.24
510,san policarpo,100,PH,1592411772,81,12.18,125.51,81.25,2.42
511,sortland,29,NO,1592411772,48,68.69,15.42,64.99,4.70
512,sur,8,OM,1592411772,68,22.57,59.53,88.74,11.23
513,oistins,75,BB,1592411772,70,13.07,-59.53,86.00,21.92
514,abu kamal,0,SY,1592411772,15,34.45,40.92,94.05,14.72
515,karratha,0,AU,1592411772,75,-20.74,116.85,68.52,1.90
516,turukhansk,100,RU,1592411772,92,65.82,87.98,42.35,5.59
517,tsabong,0,BW,1592411772,47,-26.02,22.4,55.72,10.18
518,sungaipenuh,97,ID,1592411773,94,-2.08,101.38,65.68,2.48
519,hami,99,CN,1592411773,12,42.8,93.45,88.09,8.90
520,waingapu,31,ID,1592411773,81,-9.66,120.26,76.19,11.88
521,lashio,100,MM,1592411773,100,22.93,97.75,70.29,2.24
522,sobolevo,0,RU,1592411773,78,54.43,31.9,71.78,6.33
523,ambilobe,38,MG,1592411773,64,-13.2,49.05,71.01,5.30
524,msanga,20,TZ,1592411774,31,-6.05,36.03,77.00,13.87
525,la palma,90,US,1592411774,64,33.85,-118.05,71.01,4.70
526,gornopravdinsk,65,RU,1592411774,92,60.05,69.9,44.33,4.07
527,adrar,0,MR,1592411774,12,20.5,-10.07,105.33,24.43
528,albert lea,1,US,1592411774,47,43.65,-93.37,82.00,16.11
529,yigou,100,CN,1592411774,88,35.81,114.32,65.34,1.16
530,rock sound,9,BS,1592411774,80,24.9,-76.2,81.28,9.17
531,marzuq,78,YE,1592411774,27,14.4,46.47,90.07,6.02
532,aykhal,19,RU,1592411585,44,66.0,111.5,57.20,4.47
533,katangli,100,RU,1592411775,98,51.71,143.23,40.19,11.79
534,eyl,87,SO,1592411775,55,7.98,49.82,85.95,23.78
535,birnin kebbi,0,NG,1592411775,32,12.45,4.2,99.45,9.60
536,humaita,4,BR,1592411775,39,-7.51,-63.02,93.16,3.47
537,chegdomyn,13,RU,1592411775,85,51.12,133.02,40.42,2.28
538,damghan,12,IR,1592411776,20,36.17,54.35,85.15,2.77
539,malazgirt,12,TR,1592411776,63,39.14,42.54,60.60,2.98
540,trebukhiv,20,UA,1592411776,57,50.48,30.9,80.60,8.95
541,nangomba,55,TZ,1592411776,46,-10.9,38.5,76.19,3.74
542,kachug,21,RU,1592411776,65,53.96,105.88,46.63,2.15
543,joshimath,42,IN,1592411777,52,30.57,79.57,64.99,1.34
544,lagunillas,45,VE,1592411777,70,10.13,-71.26,86.95,7.25
545,zemaiciu naumiestis,50,LT,1592411777,86,55.36,21.7,71.37,6.76
546,huarmey,4,PE,1592411777,63,-10.07,-78.15,70.20,11.74
547,landazuri,61,CO,1592411777,65,6.22,-73.81,79.21,3.65
548,berlevag,17,NO,1592411777,70,70.86,29.09,46.40,10.29
549,kendrapara,75,IN,1592411777,89,20.5,86.42,84.20,11.41
550,trorod,72,DK,1592411778,65,55.84,12.54,73.00,5.08
551,beyneu,0,KZ,1592411778,14,45.32,55.2,85.86,7.83
552,valparaiso,90,CL,1592411778,100,-33.04,-71.63,51.80,9.17
553,kloulklubed,75,PW,1592411778,88,7.04,134.26,78.80,8.12
554,cuamba,0,MZ,1592411778,70,-14.8,36.54,62.98,6.96
555,balikpapan,84,ID,1592411778,87,-1.27,116.83,79.03,9.48
556,anderson,90,US,1592411778,56,34.53,-82.65,73.00,3.36
557,wanning,0,CN,1592411779,85,18.8,110.4,80.69,9.80
558,pucallpa,75,PE,1592411779,62,-8.38,-74.55,87.80,3.36
559,beringovskiy,0,RU,1592411779,69,63.05,179.32,47.95,2.53
560,hokitika,87,NZ,1592411779,92,-42.72,170.97,51.24,6.60
561,yangambi,87,CD,1592411779,64,0.81,24.43,77.88,1.32
562,roald,59,NO,1592411779,72,62.58,6.13,68.00,6.93
563,haradok,0,BY,1592411779,76,55.46,29.98,73.13,6.67
564,isfana,20,KG,1592411779,33,39.84,69.53,71.60,8.95
565,varhaug,20,NO,1592411780,68,58.61,5.65,69.80,6.93
566,mende,28,FR,1592411780,62,44.67,3.5,55.24,9.73
567,moose factory,1,CA,1592411780,51,51.26,-80.61,82.40,8.05
568,riyadh,24,SA,1592411482,9,24.69,46.72,104.00,11.41
569,astoria,90,US,1592411512,77,46.19,-123.83,59.00,3.36
570,chimore,12,BO,1592411780,43,-16.98,-65.13,87.58,5.53
571,klaksvik,92,FO,1592411781,81,62.23,-6.59,53.60,13.87
572,balkanabat,1,TM,1592411781,11,39.51,54.37,91.96,18.14
573,shunyi,92,CN,1592411781,50,40.12,116.65,81.00,8.95
574,la rioja,78,ES,1592411781,49,42.25,-2.5,69.80,5.82
575,anshun,88,CN,1592411781,97,26.25,105.93,68.83,8.77
576,wawa,68,NG,1592411781,62,9.9,4.42,86.99,7.16
577,mitu,47,CO,1592411689,83,1.2,-70.17,82.29,3.47
578,hammerfest,11,NO,1592411781,62,70.66,23.68,51.80,3.36
579,arroyo,46,ES,1592411782,37,41.61,-4.8,71.01,5.82
580,lachi,0,PK,1592411782,11,33.38,71.34,95.56,1.95
